,sample,mkate2,avgfp,od,mkate2_od,avgfp_od,mkate2_norm,avgfp_norm,avgfp_mkate,avgfp_mkate2_wtnorm,mkate2_wtnorm,avgfp_wtnorm,experiment,n_mutations,observed,seq_id_legacy
0,0,22454,16607.0,0.4842,46373.39942,34297.81082,46285.59942,33298.81082,0.719420538,0.7511762060045379,1.3208993859046767,0.9922474923877704,metl_designs,5.0,True,exp_0
1,0,22700,16814.0,0.5049,44959.3979,33301.64389,44871.5979,32302.64389,0.719890652,0.7516670711275872,1.2805465815153871,0.9625634251808285,metl_designs,5.0,True,exp_0
2,0,21701,16118.0,0.4852,44725.88623,33219.29101,44638.08623,32220.29101,0.721811658,0.7536728715218929,1.2738826206858922,0.9601094504994916,metl_designs,5.0,True,exp_0
3,1,15056,12658.0,0.3336,45131.89448,37943.64508,45044.09448,36944.64508,0.820188429,0.8563920541076383,1.2854692924545956,1.1008871048262312,metl_designs,5.0,True,exp_1
4,1,14520,12381.0,0.3343,43434.04128,37035.59677,43346.24128,36036.59677,0.831366128,0.8680631436626056,1.2370159229975886,1.07382882147086,metl_designs,5.0,True,exp_1
5,1,14647,12248.0,0.3333,43945.39454,36747.67477,43857.59454,35748.67477,0.815107968,0.8510873384133332,1.25160893282307,1.0652492393336002,metl_designs,5.0,True,exp_1
6,2,22044,15243.0,0.4469,49326.47125,34108.30163,49238.67125,33109.30163,0.672424759,0.7021060042202127,1.405174210378353,0.9866004433211114,metl_designs,5.0,True,exp_2
7,2,21894,15471.0,0.4411,49635.0034,35073.67944,49547.2034,34074.67944,0.687721548,0.7180780029582748,1.4139791072053078,1.0153670475208014,metl_designs,5.0,True,exp_2
8,2,21816,15346.0,0.424,51452.83019,36193.39623,51365.03019,35194.39623,0.685182041,0.7154264005468604,1.465856285435272,1.0487326888065458,metl_designs,5.0,True,exp_2
9,3,7893,6639.0,0.2027,38939.31919,32752.8367,38851.51919,31753.8367,0.817312614,0.8533892988528656,1.1087454517734916,0.9462099115065562,metl_designs,5.0,True,exp_3
10,3,9676,8176.0,0.2476,39079.15994,33021.00162,38991.35994,32022.00162,0.821258906,0.8575097826252458,1.1127362299661498,0.9542007665210106,metl_designs,5.0,True,exp_3
11,4,10193,8164.0,0.2657,38362.81521,30726.38314,38275.01521,29727.38314,0.776678546,0.8109616179311814,1.0922931693639317,0.8858250685096234,metl_designs,5.0,True,exp_4
12,4,11117,8682.0,0.2826,39338.28733,30721.86837,39250.48733,29722.86837,0.757261129,0.7906871041217521,1.120131212738571,0.8856905361013814,metl_designs,5.0,True,exp_4
